window_index,ClassPrior,Centroid,DiagGaussian,LinearSoftmax
139,0.1647058824,0.1676413255,0.2437645788,0.3299603175
140,0.131661442,0.1845574388,0.2534578795,0.3528865156
141,0.1818181818,0.2139699381,0.2715241089,0.4273185787
142,0.1494949495,0.2473382473,0.337403038,0.5013602444
143,0.2091152815,0.1965105601,0.3217101571,0.3781885215
144,0.1214057508,0.2137139976,0.3039268424,0.5304966088
145,0.1143473571,0.2504065041,0.3756843042,0.3773285389
146,0.06783625731,0.2544283414,0.2921936715,0.3760334886
147,0.1818181818,0.2279348757,0.3055850895,0.3850211563
148,0.1494949495,0.2378559464,0.283072914,0.351975304
149,0.1265822785,0.2378559464,0.3055555556,0.2946350983
150,0.07407407407,0.2996415771,0.2979031092,0.3992380952
151,0.09395973154,0.2789598109,0.3397349553,0.4576987326
152,0.04606060606,0.2928816467,0.3504273504,0.173844387
153,0.1214057508,0.2534301856,0.3230393408,0.4209182532
154,0.07407407407,0.2960640892,0.3820149656,0.4407202585
155,0.131661442,0.2279348757,0.3466564214,0.3554816799
156,0.08418657565,0.2831460674,0.3175115207,0.4130790665
157,0.1447502548,0.240494888,0.3933668991,0.5303620184
158,0.1415384615,0.237709926,0.4461865673,0.5294504965
159,0.1572139303,0.1431492843,0.2500013265,0.5281218224
160,0.01277139208,0.3225806452,0.2940320233,0.273573698
161,0,0.3300460224,0.3176550784,0.328042328
162,0.1510574018,0.2233766234,0.3286821705,0.4948937718
163,0.1214057508,0.2463054187,0.3267909742,0.4669311522
164,0.1231422505,0.2916024653,0.3725912393,0.4533703127
165,0.1196581197,0.2163588391,0.3445385354,0.2748289723
166,0.05931198102,0.2473382473,0.3551864772,0.4420937966
167,0.1431492843,0.2233766234,0.3512802647,0.4985287279
168,0.03456790123,0.3004291845,0.3048066876,0.3749486056
169,0.1690962099,0.1709968187,0.3420965608,0.3233781412
170,0.1818181818,0.186440678,0.2956469154,0.4170766819
171,0.1366459627,0.2612826603,0.2904767741,0.380673907
