window_index,DLinear,PatchTST,iTransformer,TimesNet,ZeroPred,Persistence,HAR_EWM
1380,0.5705440044,0.5655167699,0.5847565532,0.5833178163,0.5757136345,0.5790010095,0.6068305373
1381,0.5583822727,0.5857092142,0.5856913924,0.587724328,0.5761855245,0.7267863154,0.601845324
1382,0.5657631755,0.5855671167,0.5856295228,0.586661756,0.5764185786,0.5876210928,0.6022037864
1383,0.5704761147,0.5816893578,0.5919814706,0.590266645,0.5795077682,0.6193666458,0.6000313163
1384,0.5777531266,0.5879194736,0.593131721,0.5879709721,0.5801873207,0.8234369159,0.6035442948
1385,0.5708197951,0.5824815631,0.5744897723,0.5852655172,0.5808811784,0.586497128,0.6043586731
1386,0.5777731538,0.5881251097,0.5836648345,0.5863499641,0.5817522407,0.6463353634,0.6019411683
1387,0.5641769767,0.5745503902,0.569665432,0.5720323324,0.5677694678,2.127894163,0.5753545165
1388,0.556545794,0.5621370673,0.5751971602,0.5678175688,0.5599804521,1.485295177,0.5750884414
1389,0.5624964833,0.5588665605,0.5636513829,0.5631144047,0.5600967407,0.6115468144,0.5718386769
1390,0.5630514026,0.5390545726,0.5668857098,0.5628812909,0.5606501698,0.640406549,0.5746051669
1391,0.5592672229,0.5551311374,0.5619708896,0.56502074,0.5603447556,0.5944136977,0.5716676712
1392,0.564242363,0.6004254222,0.5784566998,0.5736472011,0.5682916045,0.761454165,0.5771157146
1393,0.582090199,0.5939221978,0.6061131358,0.607275784,0.5924084187,0.9283043742,0.607575357
1394,0.5896703601,0.5890504718,0.6089820862,0.6018404961,0.5914352536,0.6651115417,0.6033038497
1395,0.585082531,0.5835412145,0.5941369534,0.6055038571,0.5927445292,0.5941506624,0.6037559509
1396,0.5942847729,0.5894294381,0.6035016775,0.6125319004,0.5996803641,0.6020452976,0.6093183756
1397,0.6010397077,0.6006012559,0.6203346848,0.6209850907,0.6100093722,0.6189133525,0.6170926094
1398,0.6065862179,0.6126811504,0.6216850281,0.6191797853,0.6099763513,0.6256582141,0.6172826886
1399,0.6049485207,0.6067633033,0.6043109894,0.618462503,0.6063324809,2.506559372,0.6218771935
1400,0.5993039608,0.6249623895,0.6141255498,0.6109232306,0.6038782597,0.9303660393,0.6143157482
1401,0.6030936241,0.6172199845,0.5984099507,0.610824883,0.6014695168,0.8211102486,0.6082337499
1402,0.5951402783,0.6067970991,0.6141649485,0.6100978851,0.6013434529,0.6740249991,0.6096538305
1403,0.5965619683,0.6111369729,0.6101701856,0.6115322709,0.602388978,0.6290274262,0.6107977033
1404,0.5910238624,0.5721437335,0.6092738509,0.6081942916,0.5955135822,1.438894629,0.6111981273
1405,0.5978172421,0.5940152407,0.5918621421,0.6025530696,0.5973455906,0.6440386176,0.6093047261
1406,0.6009247303,0.5981093645,0.6154242754,0.6163162589,0.6112833619,0.8376124501,0.6242303848
1407,0.609742403,0.6211103797,0.6195315719,0.6178899407,0.611897707,0.660061717,0.6265154481
1408,0.6126609445,0.6446775794,0.6226004958,0.6245208383,0.6143943667,0.9653842449,0.6246087551
1409,0.6173262,0.6228752732,0.6264497638,0.626052916,0.6166666746,0.6383960247,0.6244904995
1410,0.6157652736,0.6152778268,0.6239753366,0.6233546734,0.6174212098,0.617770195,0.6248970032
1411,0.6127727032,0.6296551824,0.6226444244,0.6244664788,0.6173109412,0.6971076131,0.6264922619
1412,0.6170620918,0.6114483476,0.6209411025,0.6267652512,0.6198164821,0.646368742,0.6288375258
1413,0.6167523265,0.6160759926,0.6209874153,0.6226400137,0.6150548458,1.118510723,0.619092226
1414,0.610293448,0.6011413932,0.6052911878,0.6206040978,0.6151729226,0.8406305313,0.6208617091
1415,0.6133435369,0.62062186,0.6181880832,0.625330627,0.6157433987,0.711407125,0.6233881116
1416,0.612592876,0.6394043565,0.6191259623,0.620418489,0.6156433821,0.6571528912,0.623929739
1417,0.6198322177,0.6305667758,0.6430302262,0.6395112872,0.6302102208,0.6442947388,0.638696909
1418,0.6363267899,0.6524250507,0.6509720683,0.6521561146,0.6425868869,0.6741779447,0.6502768993
1419,0.6453945041,0.6476777792,0.6453557611,0.6517453194,0.6435480118,0.7076897621,0.6518909931
1420,0.6373434067,0.6502591968,0.6565830708,0.6544650197,0.6419391036,1.036432266,0.655185461
1421,0.6435243487,0.6585862041,0.6410252452,0.6517496109,0.6409215331,0.7744329572,0.6508179307
1422,0.6321803927,0.6267024875,0.6430105567,0.6397699714,0.6314719319,1.545774102,0.634962976
1423,0.642516911,0.6671156287,0.648789227,0.6440398097,0.6340364814,0.9278531075,0.635772109
1424,0.5700311065,0.6035173535,0.5804108977,0.564614594,0.5662297606,7.233312607,0.5694407821
1425,0.5703594089,0.5838348866,0.5683785081,0.5641516447,0.5638434291,0.7916558385,0.5652512908
1426,0.5306008458,0.5239284635,0.5125923753,0.5117091537,0.5129088163,6.05594635,0.5296666026
1427,0.5100315809,0.505548656,0.502620697,0.5010467172,0.5047104359,1.372359157,0.5301428437
1428,0.5062927604,0.5100831389,0.4964369237,0.4998005927,0.5040790439,0.5464292169,0.5256505609
1429,0.5078771114,0.5074965358,0.5062761307,0.4995295703,0.5021894574,0.8504219651,0.5174378753
1430,0.5133997798,0.5103906989,0.5014123321,0.4988862574,0.502246201,0.5133017898,0.5173110366
1431,0.50077039,0.4994498193,0.511210382,0.5050292015,0.5041103363,0.5392618179,0.5157880187
