window_index,DLinear,PatchTST
349,0.4170862138,0.5093023181
350,0.4097584486,0.3482372761
351,0.3957243264,0.4223739207
352,0.4277684987,0.4683530331
353,0.3952210248,0.425217241
354,0.3782761097,0.4281661212
355,0.3560589254,0.9308883548
356,0.416300416,0.5883957744
357,0.4413832724,0.5870705247
358,0.4668132365,0.4719181359
359,0.5363392234,0.4861742258
360,0.3889116347,0.3649717271
361,0.3801756799,0.4043300152
362,0.4007032216,0.52920717
363,0.3830437958,0.3603107929
364,0.3982520998,0.5125453472
365,0.3681133091,0.5973159671
366,0.4103873074,0.4249749482
367,0.4673807621,0.4338699877
368,0.5369623899,0.5347805619
369,0.3812466562,0.3185380995
370,0.4438960254,0.4520489872
371,0.4049945772,0.8515111804
372,0.3589046001,0.5046415925
373,0.353404969,0.5499330759
374,0.3030636311,0.3385893404
375,0.3445118368,0.4514373541
376,0.3396352828,0.7190496922
377,0.3134650886,0.440220505
378,0.3473705053,0.5561888814
379,0.3728635013,0.5884872675
380,0.2640924454,0.2710064352
381,0.2636964619,0.490950197
382,0.2915298045,0.2758455276
383,0.3532912433,0.4447682798
384,0.3282463253,0.3481361866
385,0.3391934931,0.3874535263
386,0.3147974908,0.3062464893
387,0.3254393637,0.4391046464
388,0.4978280067,0.5889769197
389,0.5540789962,0.6660683155
390,0.3953463137,0.3772484064
391,0.5361302495,0.5257086754
392,0.5469051003,0.5384492874
393,0.5513501763,0.6297523975
394,0.4959583282,0.4979968369
395,0.5697697997,0.6015341878
396,0.4952965677,0.5363309979
397,0.4623294175,0.445510298
398,0.4670070112,0.4715367258
399,0.460722357,0.4579118192
400,0.4720098972,0.4616285264
401,0.4908291399,0.4923464358
402,0.483630091,0.4613766372
403,0.4989280701,0.5085735917
404,0.5602397919,0.5395384431
405,0.5845258832,0.623680532
406,0.6483847499,0.7033591866
407,0.6795697212,0.6804240346
408,0.6399979591,0.6813617349
409,0.6853696704,0.6585786939
410,0.6581725478,0.6939196587
411,0.7083435655,0.7062056661
412,0.8628094196,0.9515292048
413,0.9574256539,0.8813803792
414,0.8179493546,0.8957955837
415,0.3338654935,0.4836840332
416,0.3303687274,0.3515520096
417,0.3247891665,0.3026576042
418,0.3534990251,0.3537002504
419,0.3396024704,0.3660786152
420,0.3228696883,0.3573982418
421,0.359305948,0.3964868486
422,0.3871225417,0.4554231465
423,0.4258178473,0.4793735743
424,0.4705914557,0.5091117024
425,0.5449676514,0.4918580949
426,0.3983857334,0.4561439455
427,0.314599067,0.3723399639
428,0.2740520239,0.2853939533
429,0.3074815571,0.2890578508
430,0.3818185031,0.3707530797
431,0.3965757787,0.3685192764
432,0.5217658281,0.6027411222
433,0.5223037004,0.4505205154
434,0.5251411796,0.427318722
435,0.5184412003,0.40946123
436,0.4261347353,0.4071215391
437,0.3774729073,0.3713950217
438,0.412142992,0.3964529932
439,0.3932383955,0.4052772224
440,0.3798072636,0.3830065727
441,0.3508407176,0.3474148214
442,0.377543211,0.3570874631
443,0.3896932602,0.3722268045
444,0.4164763987,0.4149306118
445,0.4130394757,0.3885566294
446,0.3997475207,0.4109961987
447,0.4058255255,0.3740504682
448,0.3935637474,0.3358348906
449,0.3884926736,0.3618683815
450,0.4376707077,0.4284418523
451,0.5102519989,0.4868541062
452,0.5662992597,0.5367981195
453,0.5851629376,0.5581220984
454,0.6529633403,0.6869344115
455,0.654291451,0.6623701453
456,0.7096927762,0.6688498855
457,0.8603323102,0.8402050138
458,0.8124857545,0.9084816575
459,0.7501869798,0.796805203
460,0.7818142772,0.8070009351
461,0.8013342023,0.7996463776
462,0.9325914383,0.8894425035
463,0.8544371724,0.7867621779
464,0.8639488816,0.7261250615
465,0.7676744461,0.7268721461
466,0.6596013904,0.5677676797
467,0.6024209857,0.6558240056
468,0.5375919938,0.5837737918
469,0.6865412593,0.7397899628
470,0.6896802783,0.8176843524
471,0.6523109078,0.6930853724
472,0.6469561458,0.6984388828
