window_index,DLinear,PatchTST,iTransformer,TimesNet
124,0.4428050518,0.4518519044,0.4441092312,0.4442591965
125,0.4424229264,0.4398507178,0.4447441101,0.4418182969
126,0.4396750033,0.4366704822,0.4380079508,0.4356853068
127,0.4370638132,0.4363879561,0.437250495,0.434602499
128,0.4448156357,0.436819613,0.4409402311,0.4426686764
129,0.4430950284,0.4379064143,0.4359579682,0.440495342
130,0.4407505393,0.4399984479,0.4471910596,0.4444667399
131,0.4522770345,0.4567370117,0.4456478655,0.4472369552
132,0.4512910247,0.4523618817,0.45360443,0.4491155744
133,0.4557760358,0.453702122,0.4506086111,0.4472695291
134,0.4560259879,0.4523253739,0.4515046477,0.4489195347
135,0.4519200027,0.4605823159,0.4469181597,0.4481060803
136,0.4774924815,0.4785563946,0.4723492563,0.4750339091
137,0.4747878015,0.4859838486,0.480043143,0.4768295884
138,0.48853755,0.4918121099,0.49388659,0.4908441007
139,0.4758716822,0.470085144,0.473942697,0.4728589654
140,0.4741309881,0.4823545814,0.4730758667,0.475314647
141,0.4736884832,0.4662427306,0.4756993651,0.4722004831
142,0.4828943014,0.487334311,0.4765881002,0.476690352
143,0.4356636703,0.4313032627,0.4420990646,0.4341101944
144,0.3931919336,0.401868999,0.4111444354,0.4049642086
145,0.4094455838,0.420884937,0.4215381145,0.4176539779
146,0.4024581909,0.4130284786,0.4173575938,0.4192073941
147,0.4161483347,0.4229094982,0.4310931563,0.4257274866
148,0.416472286,0.4147263169,0.4276569486,0.4215106964
149,0.414195478,0.4174453616,0.4250691831,0.422821641
150,0.4133578241,0.4233291149,0.42217803,0.4185299575
151,0.4125131071,0.432905376,0.4229642749,0.4207291305
152,0.4167626798,0.4123108685,0.4253265858,0.4245908856
153,0.4124355316,0.4394977987,0.4313588738,0.4278011322
154,0.4196552932,0.4324381649,0.4367285371,0.4303872287
155,0.4113050699,0.4251710773,0.4282746017,0.4235157669
156,0.415550679,0.4368350208,0.4276423752,0.427624017
157,0.4143906534,0.426225394,0.425224036,0.428239733
158,0.4193809032,0.4266606271,0.4303229153,0.4232303202
159,0.4202987552,0.4275098443,0.4247234762,0.4240321219
160,0.4149098098,0.4241960645,0.4199387729,0.4185426235
161,0.4208349586,0.4227520227,0.4271757007,0.4192853272
162,0.4168968797,0.4208454788,0.4284631312,0.4231239855
163,0.415984571,0.4181509912,0.4194476604,0.4195966125
164,0.4136377871,0.4200649858,0.4235651791,0.4172941744
165,0.4100074768,0.4148057699,0.4101134837,0.4114359915
166,0.4103478491,0.4138722122,0.414766252,0.410282135
167,0.4038288593,0.4091474116,0.4021815658,0.40583992
168,0.3900234699,0.4052168429,0.4046161771,0.402802974
169,0.3803947866,0.3934229314,0.3834713995,0.3836495578
170,0.3858723342,0.3979360461,0.3921390176,0.3855166733
171,0.3808383644,0.3863051832,0.3896813989,0.3867094517
172,0.3823951483,0.3810546398,0.3852105737,0.3817762733
173,0.3989545703,0.395440042,0.3960045874,0.3904677033
174,0.3936284781,0.4044545889,0.393284291,0.3934969604
175,0.3950671554,0.3852717578,0.4024009705,0.4005175531
176,0.4038475454,0.4003248811,0.4110866785,0.4039472044
177,0.3970234692,0.4040914178,0.4007026255,0.39829427
178,0.3920348883,0.3918637335,0.4035838842,0.3984010816
179,0.4010311663,0.4038570821,0.3995656371,0.4019583166
180,0.3953497708,0.4001674652,0.4007521272,0.4024045169
181,0.4579633176,0.4446891546,0.4557210803,0.4571177065
182,0.462859571,0.4650243521,0.455424726,0.4576834738
183,0.4647541046,0.4665389657,0.455388695,0.4585174024
184,0.461891979,0.4601657391,0.4619464874,0.4564346075
185,0.463588208,0.4608366787,0.4561444223,0.4578099549
186,0.4519192874,0.455945909,0.4586619437,0.4542883933
187,0.4359044433,0.4363710284,0.4424837232,0.4462497234
188,0.4244695902,0.4348006546,0.4419394135,0.4349558651
189,0.4289659262,0.4342290759,0.4451643527,0.4364538789
190,0.4287202954,0.4309880733,0.4342179,0.4332300425
191,0.4214386642,0.428750366,0.4309667349,0.4280389249
192,0.4241289496,0.4289850593,0.4203751087,0.4194191992
193,0.4177673757,0.4323677719,0.4275275767,0.4220863581
194,0.4101858735,0.4152866602,0.4170635641,0.4169555008
195,0.4492736161,0.4468246996,0.4478875101,0.4465534687
196,0.4556697607,0.4445913434,0.4474554062,0.4478781521
197,0.4514002204,0.4467045963,0.4529517591,0.4477370679
198,0.4573228359,0.458571285,0.4516963959,0.448762089
199,0.4681163132,0.4573039114,0.4569107592,0.4544310272
200,0.4996148944,0.5025383234,0.487662822,0.4897084832
201,0.5009262562,0.4890236259,0.4908248484,0.4885743558
202,0.4966302216,0.4944640696,0.4869302213,0.4909357429
203,0.4988800287,0.5026032329,0.4926116467,0.4900361896
204,0.490619123,0.4968525469,0.4933121502,0.4879284501
205,0.4984627664,0.4858757257,0.4947714508,0.4884236753
206,0.4923577011,0.4987618029,0.4839841723,0.4876238406
