window_index,DLinear,PatchTST,iTransformer,TimeMixer,FreTS,TimeXer,ZeroPred,Persistence,HAR_EWM
62,0.4763204157,0.4672791958,0.4664049745,0.4659650922,0.4674492478,0.4664321244,0.4679811597,0.7464130521,0.4639477134
63,0.4930939972,0.4751040041,0.4790526927,0.4763487875,0.4838916361,0.4764114916,0.4824780524,0.4897227585,0.4765852392
64,0.4891914725,0.4800158143,0.4785600305,0.4742735326,0.4858545661,0.4808765054,0.4834043384,0.4940291345,0.4782980382
65,0.4934156537,0.484934032,0.4888544679,0.477663219,0.4850243926,0.4927525818,0.4834487438,0.4953674078,0.4782524109
66,0.4909011424,0.4769657552,0.4799302816,0.4792638421,0.4886076748,0.494934082,0.4832871258,0.5485154986,0.4776534438
67,0.4947488904,0.47975564,0.4852944911,0.4807734787,0.4859213233,0.4799838364,0.4833827317,0.542863965,0.4777696133
68,0.4869821668,0.4946378171,0.4941709638,0.4869756103,0.4953014851,0.4835549295,0.4913904965,0.4923177063,0.4867576957
69,0.5033631325,0.4952827692,0.4911450744,0.4864287674,0.4939720631,0.4978099167,0.4913832247,0.5031344891,0.4866631925
70,0.4969114065,0.4830468893,0.4922097623,0.4926865995,0.4879505038,0.4899612665,0.4910490811,0.5609096289,0.4864397943
71,0.4988904595,0.4929195642,0.4859126806,0.4960329831,0.4917573929,0.4977310598,0.4920537174,0.4996225238,0.4877270162
72,0.496122092,0.489541769,0.4895566702,0.4928211868,0.4915737808,0.4976594448,0.4935696125,0.5003946424,0.4889653623
73,0.5044798255,0.4965769053,0.4929856658,0.4844868183,0.493660152,0.4921309054,0.4936029315,0.5677450895,0.4889801145
74,0.491450727,0.4994068146,0.4912781119,0.4870141745,0.4959728122,0.4935228229,0.4946160614,0.5693504214,0.4896260202
75,0.4998172522,0.4940330088,0.5027388334,0.492152065,0.4970018268,0.4931832254,0.4941585064,0.5532031059,0.4891332984
76,0.4831779003,0.4852528274,0.4894310236,0.4780053496,0.4734570682,0.4793058634,0.473075062,3.868529558,0.4732443988
77,0.4684200883,0.4759242535,0.4886275828,0.4701300263,0.474909842,0.4864827991,0.4728372693,0.5429041982,0.4717933536
78,0.483409524,0.4793826938,0.483650893,0.4755682349,0.4751793146,0.4908414483,0.4731023908,0.50334692,0.4710057676
79,0.4705513418,0.4746832252,0.4797034562,0.4655372202,0.4702563584,0.4867783487,0.4694461226,1.190209031,0.465274632
80,0.4745215476,0.4662488699,0.4676820636,0.4733477235,0.4668497741,0.4677542746,0.4651950598,2.90328145,0.4619440436
81,0.4789430499,0.4662978351,0.4719522595,0.4566780627,0.4648445249,0.4741654992,0.4640338421,0.6350175738,0.4601910114
82,0.4591414928,0.4633373618,0.4698709249,0.4735171497,0.4667387903,0.4900105298,0.4643717408,0.6178681254,0.4608307481
83,0.4745417535,0.4635256231,0.4578693509,0.4645002782,0.4691564441,0.4709690213,0.4662105143,1.169253349,0.4627070129
84,0.4687316418,0.4599162638,0.4619193375,0.4505791366,0.4669257104,0.4657460153,0.4666978717,0.5034418702,0.4634157717
85,0.4840080738,0.4677269459,0.4614997208,0.4569170773,0.4708690643,0.4715787768,0.470638454,0.6198709011,0.4680608213
86,0.4820237756,0.4687300622,0.4793949127,0.4716955721,0.4792643487,0.4731866717,0.4795919955,0.806461215,0.4789072573
87,0.4819998443,0.4742544293,0.4663135111,0.473958075,0.48064363,0.4696128368,0.4774256647,0.7477092743,0.4742248654
88,0.4809050858,0.4695637226,0.4721191823,0.4811413586,0.4799120426,0.4736027122,0.4774897993,0.4725820422,0.4742164016
89,0.4896627069,0.467756629,0.4726052582,0.4817452133,0.4797156751,0.4816097617,0.4777254462,0.5366668105,0.4751046002
90,0.4873435497,0.4649997354,0.471275419,0.4781421125,0.4805722833,0.4853519797,0.4775146246,0.5012421608,0.4739284515
91,0.4923641086,0.4709111154,0.4721644223,0.4823716879,0.478707999,0.4800415635,0.4776998162,0.7343426347,0.4759512544
92,0.4817897379,0.4705936313,0.4724551141,0.4745479822,0.4776381552,0.4717992246,0.4776830077,0.4740470648,0.4753859043
93,0.4871866107,0.4782818854,0.4755200744,0.4806675315,0.4788826108,0.4710358083,0.479536742,0.5876825452,0.4784353375
94,0.4897407293,0.4734416306,0.4756474197,0.4734690487,0.4822475016,0.4722913206,0.4804848135,0.5126672387,0.4798993468
95,0.4941589832,0.4684083164,0.4786261618,0.478471905,0.4807879925,0.4754816294,0.480150938,0.4997650385,0.4784465134
96,0.4978660047,0.4846916199,0.4868628085,0.4800118506,0.4891863465,0.4775966406,0.4871683717,1.116826773,0.4820622802
97,0.4912372828,0.4683436751,0.4638819098,0.4707658887,0.4741375446,0.4688877761,0.4746702313,3.03644681,0.4764238
