window_index,DLinear,PatchTST,iTransformer,TimesNet
136,0.5416666865,0.6458333135,0.5416666865,0.5208333135
137,0.4791666567,0.4791666567,0.4791666567,0.5208333135
138,0.4166666567,0.5416666865,0.5208333135,0.5416666865
139,0.3958333433,0.4375,0.5,0.5625
140,0.4375,0.5416666865,0.5208333135,0.5625
141,0.5416666865,0.625,0.5625,0.5625
142,0.4166666567,0.5208333135,0.5208333135,0.5416666865
143,0.3541666567,0.5,0.5208333135,0.5208333135
144,0.5833333135,0.3958333433,0.5,0.5
145,0.6041666865,0.4583333433,0.5,0.5
146,0.4791666567,0.5208333135,0.4791666567,0.4791666567
147,0.4583333433,0.5,0.4791666567,0.4791666567
148,0.4791666567,0.5833333135,0.4791666567,0.4791666567
149,0.5625,0.4791666567,0.5,0.5
150,0.3958333433,0.4791666567,0.5,0.5
151,0.4375,0.4166666567,0.5,0.5
152,0.4583333433,0.4791666567,0.5,0.5
153,0.5208333135,0.4375,0.4791666567,0.4791666567
154,0.3541666567,0.4791666567,0.4583333433,0.4583333433
155,0.3958333433,0.4791666567,0.4791666567,0.4791666567
156,0.4583333433,0.375,0.4791666567,0.4791666567
157,0.5,0.4375,0.4791666567,0.4791666567
158,0.5208333135,0.4583333433,0.5,0.5
159,0.4166666567,0.5,0.5,0.5
160,0.5,0.4791666567,0.5,0.5
161,0.5,0.5,0.5208333135,0.5208333135
162,0.4375,0.5208333135,0.5208333135,0.5208333135
163,0.4166666567,0.6041666865,0.5208333135,0.5208333135
164,0.4375,0.5625,0.5416666865,0.5416666865
165,0.5,0.5208333135,0.5416666865,0.5416666865
166,0.5,0.5208333135,0.5208333135,0.5208333135
167,0.4791666567,0.4375,0.5416666865,0.5416666865
168,0.4791666567,0.4166666567,0.5416666865,0.5416666865
169,0.5416666865,0.5,0.5416666865,0.5416666865
170,0.5833333135,0.5416666865,0.5208333135,0.5208333135
171,0.5416666865,0.5208333135,0.5,0.5
172,0.4166666567,0.4791666567,0.5,0.5
173,0.4166666567,0.4375,0.5,0.5
174,0.5,0.4375,0.4791666567,0.4791666567
175,0.5416666865,0.5,0.4375,0.4583333433
176,0.5208333135,0.4375,0.4791666567,0.4583333433
177,0.5,0.4583333433,0.4791666567,0.4791666567
